Angleterre. Premier League. Équipe vs joueur  (33) — 33 match(s)
Angleterre. Premier League  (21) — 21 match(s)
Malte. Premier League  (4) — 4 match(s)
Angleterre. Southern Premier League. South  (2) — 2 match(s)
Azerbaïdjan. Premier League  (2) — 2 match(s)
Nigeria. Premier League  (2) — 2 match(s)
Singapour. Premier League  (2) — 2 match(s)
Anglèterre. Southern Premier League. Central  (1) — 1 match(s)
Russie. Premier League. Femmes. Statistiques du tour  (1) — 1 match(s)
Championnat d'Ecosse. Premier League. Statistiques du tour  (1) — 1 match(s)
Arabie saoudite. Premier League. Femmes  (1) — 1 match(s)
Championnat d'Australie. Premier League du Victoria 1  (1) — 1 match(s)
Hong Kong. Premier League  (1) — 1 match(s)
Pays de Galles. Premier League  (1) — 1 match(s)
Espagne. La Liga. Équipe vs joueur  (37) — 37 match(s)
Espagne. La Liga  (21) — 21 match(s)
France. Ligue 1  (19) — 19 match(s)
Angleterre. Ligue 1  (14) — 14 match(s)
Pérou. Ligue 1  (10) — 10 match(s)
Turquie. TFF 1. Ligue 1  (8) — 8 match(s)
Corée du Sud. K Ligue 1  (8) — 8 match(s)
Slovénie. Ligue 1  (7) — 7 match(s)
Algérie. Ligue 1  (6) — 6 match(s)
Championnat de la Chine. Ligue 1  (6) — 6 match(s)
Championnat d'Écosse. Ligue 1  (5) — 5 match(s)
Championnat de Lituanie. Ligue 1  (5) — 5 match(s)
Ukraine. Ligue 1  (1) — 1 match(s)
Macédoine du Nord. Ligue 1  (1) — 1 match(s)
Championnat du Brésil. Serie A. Statistiques du tour  (1) — 1 match(s)
Allemagne. Bundesliga  (19) — 19 match(s)
Autriche. Bundesliga  (13) — 13 match(s)
Allemagne. 2. Bundesliga  (9) — 9 match(s)
Allemagne. Bundesliga. Femmes  (4) — 4 match(s)
Allemagne. Bundesliga U19  (3) — 3 match(s)
Pays-Bas. Eredivisie  (19) — 19 match(s)
Pays-Bas. Eredivisie. Femmes  (5) — 5 match(s)
Ligue des nations de l'UEFA  (68) — 68 match(s)
Matchs amicaux. Équipes nationales  (65) — 65 match(s)
Coupe d'Afrique des nations  (48) — 48 match(s)
Championnat des États-Unis. MLS  (31) — 31 match(s)
Championnat de République tchèque. 4 Liga  (31) — 31 match(s)
Championnat d'Argentine. Primera Division  (30) — 30 match(s)
Suède. Division 3  (28) — 28 match(s)
Italie. Série D  (27) — 27 match(s)
MLS+  (24) — 24 match(s)
Coupe d'Angleterre  (22) — 22 match(s)
Championnat du Brésil. Série A  (22) — 22 match(s)
Italie. Série A  (21) — 21 match(s)
Suède. Division 1. Femmes  (21) — 21 match(s)
Championnat de Pologne. Liga 3  (19) — 19 match(s)
Championnat de République tchèque. 3 Liga  (19) — 19 match(s)
Ligue des champions de l'UEFA  (18) — 18 match(s)
Ligue Europa de l'UEFA  (18) — 18 match(s)
Ligue Conférence de l'UEFA  (18) — 18 match(s)
Argentine. Primera B Nacional  (18) — 18 match(s)
Turquie. 2. Lig  (17) — 17 match(s)
Coupe d`Allemagne - DFB Pokal  (16) — 16 match(s)
Coupe de Russie  (16) — 16 match(s)
Championnat de Russie. Première Ligue  (16) — 16 match(s)
Championnat de Grèce. Superligue Elláda  (16) — 16 match(s)
Suède. Division 1  (16) — 16 match(s)
Roumanie. Liga 1  (16) — 16 match(s)
Angleterre. Championship  (15) — 15 match(s)
Angleterre. Ligue 2  (15) — 15 match(s)
Belgique. Division 1  (14) — 14 match(s)
Championnat de Pologne. IV League  (14) — 14 match(s)
États-Unis. USL  (14) — 14 match(s)
Championnat de Finlande. Kakkonen. 2e division  (14) — 14 match(s)
Finlande. Nelonen. Division 4  (14) — 14 match(s)
Championnat de Colombie. Categoria Primera A  (13) — 13 match(s)
Norway. Division 5  (13) — 13 match(s)
Suède. Superettan U19  (13) — 13 match(s)
Championnat d'Écosse. Première Ligue  (13) — 13 match(s)
Espagne. Division 2  (12) — 12 match(s)
France. National 2  (12) — 12 match(s)
Championnat du Japon  (12) — 12 match(s)
Angleterre. National League  (11) — 11 match(s)
Championnat d'Allemagne. Ligue 3  (11) — 11 match(s)
Championnat d'Allemagne. Oberliga Bayern  (11) — 11 match(s)
Italie. Série B  (11) — 11 match(s)
Italie. Campionato Nazionale Primavera 2  (11) — 11 match(s)
Portugal. Primeira Liga  (11) — 11 match(s)
Championnat d'Uruguay. Primera Division  (11) — 11 match(s)
Roumanie. Liga 2  (11) — 11 match(s)
Championnat de Slovaquie. 3 Liga  (11) — 11 match(s)
Championnat d'Espagne. Première division RFEF. Groupe 2  (10) — 10 match(s)
Championnat d'Italie. Série C. Groupe A  (10) — 10 match(s)
Championnat d'Italie. Série C. Groupe B  (10) — 10 match(s)
Championnat d'Italie. Série C. Groupe С  (10) — 10 match(s)
France. Ligue de la jeunesse  (10) — 10 match(s)
Coupe du Portugal  (10) — 10 match(s)
Championnat de Turquie. Süper Lig  (10) — 10 match(s)
Championnat d'Argentine. Primera B. Metropolitana  (10) — 10 match(s)
Belgique. Jupiler Pro League  (10) — 10 match(s)
Championnat deTchéquie . Première Ligue  (10) — 10 match(s)
Suède.  Allsvenskan  (10) — 10 match(s)
Championnat de Corée du Sud. K League 2  (10) — 10 match(s)
Championnat de Finlande. Kolmonen. 3ème division. Femmes  (10) — 10 match(s)
Championnat de Hongrie. NB III  (10) — 10 match(s)
Roumanie. Liga 3  (10) — 10 match(s)
Championnat d'Allemagne. Verbandsliga  (9) — 9 match(s)
Championnat d'Espagne. Deuxième division RFEF. Groupe 1  (9) — 9 match(s)
Championnat d'Espagne. Deuxième division RFEF. Groupe 2  (9) — 9 match(s)
Championnat d'Espagne. Deuxième division RFEF. Groupe 3  (9) — 9 match(s)
Championnat d'Espagne. Deuxième division RFEF. Groupe 4  (9) — 9 match(s)
Championnat d'Espagne. Première division RFEF. Groupe 1  (9) — 9 match(s)
France. Ligue 3  (9) — 9 match(s)
Championnat des Pays-Bas. Division 2  (9) — 9 match(s)
Portugal. U19  (9) — 9 match(s)
Championnat du Mexique. Ligue MX  (9) — 9 match(s)
Championnat de Norvège. Eliteserien  (9) — 9 match(s)
Championnat de Norvège. Adeccoligaen  (9) — 9 match(s)
Championnat de Pologne  (9) — 9 match(s)
Suède. Superettan  (9) — 9 match(s)
Championnat du Japon. Division 2  (9) — 9 match(s)
Championnat d'Afrique du Sud  (9) — 9 match(s)
Championnat de Serbie. SuperLeague  (9) — 9 match(s)
Angleterre. Coupe de la Ligue  (8) — 8 match(s)
Allemagne. Oberliga Rheinland-Pfalz  (8) — 8 match(s)
Coupe d`Allemagne U19  (8) — 8 match(s)
Championnat d'Espagne. Deuxième division RFEF. Groupe 5  (8) — 8 match(s)
Championnat de Russie. Première Ligue. Femmes  (8) — 8 match(s)
Brazil. Campeonato Brasileiro B  (8) — 8 match(s)
Grèce. Superligue 2  (8) — 8 match(s)
Etats-Unis. USL League One  (8) — 8 match(s)
Suisse. SuperLigue  (8) — 8 match(s)
Suède. U19  (8) — 8 match(s)
Écosse. Championship  (8) — 8 match(s)
Championnat d'Écosse. Highland League  (8) — 8 match(s)
Championnat du Japon. Division 3  (8) — 8 match(s)
Bulgarie. Deuxième Ligue  (8) — 8 match(s)
Bulgarie. Première Ligue  (8) — 8 match(s)
Bulgarie. Troisième Ligue  (8) — 8 match(s)
Championnat d'Ukraine. Premier-Liha  (8) — 8 match(s)
Championnat d'Équateur  (8) — 8 match(s)
Championnat de Chine. Ligue 2  (8) — 8 match(s)
Chine. Ligue des Champions  (8) — 8 match(s)
Championnat de Hongrie. NB II  (8) — 8 match(s)
Championnat de Slovaquie. Fortuna liga  (8) — 8 match(s)
Championnat de Slovénie. 2. SNL  (8) — 8 match(s)
Championnat du Bélarus. Division 1  (8) — 8 match(s)
Championnat du Bélarus. Ligue supérieure  (8) — 8 match(s)
Islande. Urvalsdeild  (8) — 8 match(s)
Allemagne. 2. League. Femmes  (7) — 7 match(s)
Allemagne. Oberliga Baden-Württemberg  (7) — 7 match(s)
Championnat d'Allemagne. Ligue régionale Bayern  (7) — 7 match(s)
Championnat d'Allemagne. Oberliga NOFV Sud  (7) — 7 match(s)
Espagne. Championnat des jeunes  (7) — 7 match(s)
Championnat de Russie. 2e ligue. Division B. Groupe 1  (7) — 7 match(s)
Championnat du Danemark. Division U19  (7) — 7 match(s)
Norvège. Division 2  (7) — 7 match(s)
Championnat de Pologne. League 1  (7) — 7 match(s)
États-Unis. NWSL. Femmes  (7) — 7 match(s)
Championnat de République tchèque U19  (7) — 7 match(s)
Championnat de République tchèque. 5 Liga  (7) — 7 match(s)
Burkina Faso  (7) — 7 match(s)
Championnat d'Irlande du Nord. NIFL Premiership  (7) — 7 match(s)
Championnat de Chypre. Première division  (7) — 7 match(s)
Championnat de Croatie. 2ème ligue  (7) — 7 match(s)
Croatie. 1. HNL U19  (7) — 7 match(s)
Championnat de Hong Kong. Division 1  (7) — 7 match(s)
Championnat de Hongrie. Super Ligue  (7) — 7 match(s)
Championnat de Slovaquie. 2 Liga  (7) — 7 match(s)
Championnat de Thaïlande. Thai Première Ligue  (7) — 7 match(s)
Championnat du Venezuela. Division 1  (7) — 7 match(s)
Championnat du Zimbabwe de football  (7) — 7 match(s)
Indonésie. Super Ligue  (7) — 7 match(s)
Lettonie. SynotTip Virslīga  (7) — 7 match(s)
Angleterre. Femmes's Super League  (6) — 6 match(s)
Angleterre. Première Ligue 2  (6) — 6 match(s)
Championnat d'Allemagne. Oberliga Niederrhein  (6) — 6 match(s)
Championnat d'Espagne. Troisième division RFEF. Groupe 5  (6) — 6 match(s)
Championnat de Russie. 2e ligue. Division B. Groupe 4  (6) — 6 match(s)
Championnat du Portugal U23  (6) — 6 match(s)
Brésil. Championnat Gaúcho. Division 2  (6) — 6 match(s)
Championnat du Danemark. Superliga  (6) — 6 match(s)
Championnat du Danemark U19  (6) — 6 match(s)
Norvège. Division 3. Groupe 1  (6) — 6 match(s)
Championnat de Pologne. II League  (6) — 6 match(s)
Suède. Allsvenskan. Femmes  (6) — 6 match(s)
