Angleterre. Premier League  (25) — 25 match(s)
Nigeria. Premier League  (5) — 5 match(s)
Azerbaïdjan. Premier League  (2) — 2 match(s)
Malte. Premier League  (2) — 2 match(s)
Hong Kong. Premier League  (1) — 1 match(s)
Espagne. La Liga  (16) — 16 match(s)
France. Ligue 1  (13) — 13 match(s)
Pérou. Ligue 1  (8) — 8 match(s)
Championnat d'Écosse. Ligue 1  (5) — 5 match(s)
Corée du Sud. K Ligue 1  (5) — 5 match(s)
Angleterre. Ligue 1  (4) — 4 match(s)
Turquie. TFF 1. Ligue 1  (4) — 4 match(s)
Slovénie. Ligue 1  (4) — 4 match(s)
Algérie. Ligue 1  (3) — 3 match(s)
Tunisie. Ligue 1  (3) — 3 match(s)
Ukraine. Ligue 1  (1) — 1 match(s)
Championnat de Lituanie. Ligue 1  (1) — 1 match(s)
Allemagne. Bundesliga  (13) — 13 match(s)
Autriche. Bundesliga  (10) — 10 match(s)
Allemagne. 2. Bundesliga  (4) — 4 match(s)
Allemagne. Bundesliga. Femmes  (3) — 3 match(s)
Pays-Bas. Eredivisie  (14) — 14 match(s)
Pays-Bas. Eredivisie. Femmes  (2) — 2 match(s)
Ligue des nations de l'UEFA  (72) — 72 match(s)
Matchs amicaux. Équipes nationales  (72) — 72 match(s)
Italie. Série D  (50) — 50 match(s)
Coupe d'Afrique des nations  (48) — 48 match(s)
Norvège. Division 4  (43) — 43 match(s)
Norway. Division 5  (36) — 36 match(s)
Championnat des États-Unis. MLS  (31) — 31 match(s)
Championnat d'Argentine. Primera Division  (27) — 27 match(s)
Angleterre. Football League Trophy  (23) — 23 match(s)
Espagne. Championnat des jeunes  (21) — 21 match(s)
Championnat du Brésil. Série A  (20) — 20 match(s)
Ligue des champions de l'UEFA  (18) — 18 match(s)
Ligue Europa de l'UEFA  (18) — 18 match(s)
Ligue Conférence de l'UEFA  (18) — 18 match(s)
Japon. Ligue régionale  (17) — 17 match(s)
Coupe d`Allemagne - DFB Pokal  (16) — 16 match(s)
Italie. Série A  (16) — 16 match(s)
Coupe de Russie  (16) — 16 match(s)
Championnat de Russie. Première Ligue  (16) — 16 match(s)
Coupe du Portugal  (16) — 16 match(s)
Angleterre. Championship  (15) — 15 match(s)
Championnat des États-Unis. MLS Next Pro  (15) — 15 match(s)
États-Unis. USL  (14) — 14 match(s)
Finlande. Nelonen. Division 4  (14) — 14 match(s)
Roumanie. Liga 1  (14) — 14 match(s)
Championnat de Grèce. Superligue Elláda  (13) — 13 match(s)
Championnat de République tchèque. 3 Liga  (13) — 13 match(s)
Championnat d'Écosse. Première Ligue  (13) — 13 match(s)
Angleterre. Ligue 2  (12) — 12 match(s)
Angleterre. National League  (12) — 12 match(s)
France. Ligue de la jeunesse  (12) — 12 match(s)
Argentine. Primera B Nacional  (12) — 12 match(s)
Championnat de Pologne. IV League  (12) — 12 match(s)
Suède. Division 1  (12) — 12 match(s)
Championnat d'Écosse. Coupe du Défi  (12) — 12 match(s)
Turquie. 2. Lig  (11) — 11 match(s)
Championnat de Colombie. Categoria Primera A  (11) — 11 match(s)
Championnat d'Italie. Série C. Groupe A  (10) — 10 match(s)
France. Ligue 3  (10) — 10 match(s)
Championnat d'Argentine. Torneo Fédéral A  (10) — 10 match(s)
Thaïlande. Division 3  (10) — 10 match(s)
Championnat d'Italie. Série C. Groupe B  (9) — 9 match(s)
Championnat du Mexique. Ligue MX  (9) — 9 match(s)
Championnat du Japon. Division 2  (9) — 9 match(s)
Bulgarie. Deuxième Ligue  (9) — 9 match(s)
Angleterre. Coupe de la Ligue  (8) — 8 match(s)
Championnat d'Espagne. Deuxième division RFEF. Groupe 4  (8) — 8 match(s)
Championnat de Norvège. Adeccoligaen  (8) — 8 match(s)
Norvège. Division 2  (8) — 8 match(s)
Etats-Unis. USL League One  (8) — 8 match(s)
Championnat de République tchèque. 4 Liga  (8) — 8 match(s)
Championnat d'Uruguay. Primera Division  (8) — 8 match(s)
Championnat d'Équateur  (8) — 8 match(s)
Chine. Ligue des Champions  (8) — 8 match(s)
Angleterre. Ligue nationale. Division 1. Femmes  (7) — 7 match(s)
Championnat d'Allemagne. Verbandsliga  (7) — 7 match(s)
Championnat d'Espagne. Deuxième division RFEF. Groupe 2  (7) — 7 match(s)
Championnat d'Espagne. Deuxième division RFEF. Groupe 3  (7) — 7 match(s)
Pays-Bas. Eerste Divisie  (7) — 7 match(s)
Brazil. Campeonato Brasileiro B  (7) — 7 match(s)
États-Unis. NWSL. Femmes  (7) — 7 match(s)
Suède. Division 1. Femmes  (7) — 7 match(s)
Suède. Superettan U19  (7) — 7 match(s)
Championnat de Chine U20  (7) — 7 match(s)
Championnat de Hong Kong. Division 1  (7) — 7 match(s)
Championnat du Venezuela. Division 1  (7) — 7 match(s)
Jeux asiatiques  (7) — 7 match(s)
Angleterre. Ligue nationale. Première division. Femmes  (6) — 6 match(s)
Allemagne. 2. League. Femmes  (6) — 6 match(s)
Espagne. Division 2  (6) — 6 match(s)
Championnat d'Espagne. Deuxième division RFEF. Groupe 5  (6) — 6 match(s)
Championnat de Russie. 2e ligue. Division B. Groupe 4  (6) — 6 match(s)
Portugal. Primeira Liga  (6) — 6 match(s)
Turquie. TFF 3. Ligue  (6) — 6 match(s)
Belgique. Division 1  (6) — 6 match(s)
Grèce. Superligue 2  (6) — 6 match(s)
Championnat de Norvège. Eliteserien  (6) — 6 match(s)
Suède.  Allsvenskan  (6) — 6 match(s)
Asian Games. Femmes  (6) — 6 match(s)
Canada. Première Ligue  (6) — 6 match(s)
Championnat d'Arménie. Deuxième division  (6) — 6 match(s)
Championnat du Costa Rica. Division 1 (UNAFUT)  (6) — 6 match(s)
Le Salvador. Primera Division  (6) — 6 match(s)
Angleterre. Superligue 2. Femmes  (5) — 5 match(s)
Championnat d'Allemagne. Ligue 3  (5) — 5 match(s)
Championnat d'Allemagne. Oberliga NOFV Sud  (5) — 5 match(s)
Coupe d`Allemagne U19  (5) — 5 match(s)
Championnat d'Espagne. Deuxième division RFEF. Groupe 1  (5) — 5 match(s)
Championnat d'Espagne. Première division RFEF. Groupe 2  (5) — 5 match(s)
Championnat d'Espagne. Primera Division RFEF. Femmes  (5) — 5 match(s)
Championnat d'Espagne. Troisième division RFEF. Groupe 13  (5) — 5 match(s)
Championnat d'Espagne. Troisième division RFEF. Groupe 6  (5) — 5 match(s)
Championnat d'Espagne. Troisième division RFEF. Groupe 8  (5) — 5 match(s)
Italie. Série B  (5) — 5 match(s)
Championnat de Russie. 1ère ligue  (5) — 5 match(s)
Championnat de Russie. 2ème Ligue. Division A. Or  (5) — 5 match(s)
Championnat des Pays-Bas. Troisième division  (5) — 5 match(s)
Championnat de Turquie. Süper Lig  (5) — 5 match(s)
Belgique. Jupiler Pro League  (5) — 5 match(s)
Championnat du Brésil. Série C  (5) — 5 match(s)
Championnat du Danemark. Superliga  (5) — 5 match(s)
Mexique. Liga Premier. Série A  (5) — 5 match(s)
Mexique. Ligue d'Expansion MX  (5) — 5 match(s)
Championnat de Pologne  (5) — 5 match(s)
Championnat deTchéquie . Première Ligue  (5) — 5 match(s)
Championnat de République tchèque. 5 Liga  (5) — 5 match(s)
Championnat d'Écosse. Scottish Ligue 2  (5) — 5 match(s)
Championnat de Corée du Sud. K League 2  (5) — 5 match(s)
Championnat d'Albanie de football  (5) — 5 match(s)
Championnat d'Afrique du Sud  (5) — 5 match(s)
Championnat d'Irlande du Nord. NIFL Premiership  (5) — 5 match(s)
